"kegg","sp","trans","qlen","slen","bitscore","length","nident","pident","evalue","ppos","cov","ko"
"aag:5568471","Q1HR36","TRINITY_DN7767_c0_g1_i1",1496,248,270,246,141,57.32,2e-85,72.76,0.568548387096774,"ko:K16197"
"aag:5568471","Q1HR36","TRINITY_DN9134_c0_g2_i1",1371,248,315,241,158,65.56,2e-103,79.67,0.637096774193548,"ko:K16197"
"aag:5568471","Q1HR36","TRINITY_DN9134_c0_g1_i2",1061,248,258,243,150,61.73,1e-82,76.54,0.604838709677419,"ko:K16197"
"aag:5568471","Q1HR36","TRINITY_DN9134_c0_g1_i3",1339,248,258,243,150,61.73,2e-81,76.54,0.604838709677419,"ko:K16197"
"aag:5568471","Q1HR36","TRINITY_DN9093_c0_g1_i1",1248,248,259,197,125,63.45,4e-82,80.71,0.504032258064516,"ko:K16197"
"aag:5568471","Q1HR36","TRINITY_DN9134_c0_g2_i2",1053,248,308,238,159,66.81,3e-102,78.57,0.641129032258065,"ko:K16197"
"aag:5568558","Q17M80","TRINITY_DN8733_c0_g1_i1",1850,521,745,514,362,70.43,0,83.07,0.694817658349328,"ko:K00140"
"aag:5570108","Q16ZR8","TRINITY_DN8854_c0_g1_i1",1089,288,310,207,145,70.05,2e-102,83.09,0.503472222222222,"ko:K02998"
"aag:5570675","Q1HR62","TRINITY_DN4546_c0_g1_i1",619,189,240,188,119,63.3,8e-79,78.19,0.62962962962963,"ko:K02883"
"aag:5570780","Q16YG0","TRINITY_DN9378_c0_g1_i1",2323,191,364,191,176,92.15,2e-119,95.29,0.921465968586387,"ko:K04393"
"aag:5570780","Q16YG0","TRINITY_DN8545_c0_g1_i1",1280,191,210,185,99,53.51,4e-64,71.89,0.518324607329843,"ko:K04393"
"aag:5570780","Q16YG0","TRINITY_DN8633_c0_g1_i1",935,191,286,192,132,68.75,5e-95,82.81,0.691099476439791,"ko:K04393"
"aag:5570780","Q16YG0","TRINITY_DN8633_c0_g1_i2",2037,191,286,192,133,69.27,1e-90,83.33,0.696335078534031,"ko:K04393"
"aag:5572986","P49128","TRINITY_DN9513_c2_g1_i1",717,376,444,215,210,97.67,2e-155,98.6,0.558510638297872,"ko:K05692"
"aag:5573732","O16110","TRINITY_DN8737_c0_g1_i1",1409,157,198,153,126,82.35,2e-59,89.54,0.802547770700637,"ko:K02155"
"aag:5574866","Q1HR65","TRINITY_DN8253_c0_g1_i1",620,186,248,162,118,72.84,5e-82,85.19,0.634408602150538,"ko:K02880"
"aag:5575386","Q16P20","TRINITY_DN9343_c0_g1_i1",1769,467,620,440,313,71.14,0,82.73,0.670235546038544,"ko:K01647"
"aag:5575922","Q16MW6","TRINITY_DN7331_c0_g1_i1",1175,279,312,262,150,57.25,7e-103,70.99,0.537634408602151,"ko:K00772"
"aag:5576477","Q17GS9","TRINITY_DN9525_c0_g1_i1",3231,832,940,728,501,68.82,0,78.3,0.602163461538462,"ko:K02105"
"aag:5576745","Q1HQK0","TRINITY_DN9241_c0_g1_i1",1223,241,328,222,156,70.27,2e-109,82.88,0.647302904564315,"ko:K00939"
"aag:5577291","Q16K15","TRINITY_DN7723_c0_g1_i1",1067,326,427,326,195,59.82,6e-148,77.61,0.598159509202454,"ko:K03246"
"aag:5577291","Q16K15","TRINITY_DN7723_c0_g2_i1",1067,326,427,326,195,59.82,6e-148,77.61,0.598159509202454,"ko:K03246"
"aag:5577309","Q1HRR3","TRINITY_DN9087_c0_g1_i1",847,270,330,248,171,68.95,1e-111,82.26,0.633333333333333,"ko:K02984"
"aag:5578100","Q17FF6","TRINITY_DN8759_c0_g1_i1",1274,151,206,151,96,63.58,6e-63,78.15,0.635761589403974,"ko:K13758"
"aag:5578123","P62251","TRINITY_DN9320_c0_g2_i2",698,148,224,139,103,74.1,2e-72,89.93,0.695945945945946,"ko:K02960"
"aag:5578123","P62251","TRINITY_DN9320_c0_g2_i1",377,148,178,113,81,71.68,3e-56,90.27,0.547297297297297,"ko:K02960"
"aag:5578243","Q9GNE2","TRINITY_DN6283_c0_g1_i1",638,140,225,126,108,85.71,2e-73,93.65,0.771428571428571,"ko:K02894"
"aalt:CC77DRAFT_949988","Q9HDT3","TRINITY_DN9573_c0_g1_i1",1574,438,546,431,275,63.81,0,77.73,0.627853881278539,"ko:K01689"
"aas:Aasi_0151","B3EUH8","TRINITY_DN9573_c0_g1_i1",1574,427,426,440,215,48.86,3e-143,69.77,0.503512880562061,"ko:K01689"
"aas:Aasi_0481","B3ERN8","TRINITY_DN8020_c0_g1_i1",2247,632,670,557,341,61.22,0,78.46,0.539556962025316,"ko:K04043"
"aas:Aasi_1809","B3ET80","TRINITY_DN7353_c0_g1_i1",810,160,202,141,91,64.54,4e-63,82.98,0.56875,"ko:K00331"
"aau:AAur_0570","A1R2B5","TRINITY_DN9267_c0_g1_i2",1329,328,347,330,177,53.64,4e-115,65.76,0.539634146341463,"ko:K00024"
"aau:AAur_0832","A1R317","TRINITY_DN9611_c0_g2_i1",3300,608,551,623,305,48.96,0,65.01,0.501644736842105,"ko:K01596"
"aau:AAur_0832","A1R317","TRINITY_DN9611_c0_g2_i2",3301,608,551,623,305,48.96,0,65.01,0.501644736842105,"ko:K01596"
"aau:AAur_1263","A1R485","TRINITY_DN9573_c0_g1_i1",1574,426,440,434,233,53.69,8e-149,69.59,0.546948356807512,"ko:K01689"
"aav:Aave_0372","A1TJ41","TRINITY_DN9596_c0_g1_i1",1802,476,584,449,308,68.6,0,81.74,0.647058823529412,"ko:K02112"
"aav:Aave_0979","A1TKT9","TRINITY_DN9562_c0_g1_i1",1944,393,395,382,210,54.97,4e-130,73.82,0.534351145038168,"ko:K00789"
"aav:Aave_1226","A1TLH9","TRINITY_DN8020_c0_g1_i1",2247,654,749,606,385,63.53,0,78.55,0.58868501529052,"ko:K04043"
"aav:Aave_1264","A1TLL7","TRINITY_DN7353_c0_g1_i1",810,159,259,145,116,80,9e-86,91.03,0.729559748427673,"ko:K00331"
"aav:Aave_1266","A1TLL9","TRINITY_DN6874_c0_g1_i1",1569,417,542,414,255,61.59,0,76.81,0.611510791366906,"ko:K00333"
"aav:Aave_1271","A1TLM4","TRINITY_DN6548_c0_g1_i1",848,171,172,151,93,61.59,1e-51,75.5,0.543859649122807,"ko:K00338"
"aav:Aave_2206","A1TP96","TRINITY_DN9267_c0_g1_i2",1329,328,337,331,177,53.47,4e-111,67.37,0.539634146341463,"ko:K00024"
"aav:Aave_4060","A1TUG3","TRINITY_DN9231_c0_g1_i1",1572,475,506,464,275,59.27,5e-174,71.12,0.578947368421053,"ko:K01251"
"aba:Acid345_0982","Q1IT15","TRINITY_DN8020_c0_g1_i1",2247,644,688,602,352,58.47,0,76.41,0.546583850931677,"ko:K04043"
"aba:Acid345_1070","Q1ISS7","TRINITY_DN9573_c0_g1_i1",1574,433,438,432,233,53.94,5e-148,70.83,0.53810623556582,"ko:K01689"
"aba:Acid345_4334","Q1IIG6","TRINITY_DN9485_c0_g1_i1",1847,512,599,495,291,58.79,0,76.57,0.568359375,"ko:K02111"
"abb:ABBFA_000807","B7GY31","TRINITY_DN9611_c0_g2_i1",3300,610,594,611,312,51.06,0,67.76,0.511475409836066,"ko:K01596"
"abb:ABBFA_000807","B7GY31","TRINITY_DN9611_c0_g2_i2",3301,610,594,611,312,51.06,0,67.76,0.511475409836066,"ko:K01596"
"abb:ABBFA_001557","B7H227","TRINITY_DN9573_c0_g1_i1",1574,429,416,438,218,49.77,3e-139,68.95,0.508158508158508,"ko:K01689"
"abb:ABBFA_003505","B7H317","TRINITY_DN8020_c0_g1_i1",2247,646,712,605,371,61.32,0,77.85,0.574303405572755,"ko:K04043"
"abc:ACICU_00031","B2HZZ7","TRINITY_DN8020_c0_g1_i1",2247,646,712,605,371,61.32,0,77.85,0.574303405572755,"ko:K04043"
"abc:ACICU_02913","B2HXC1","TRINITY_DN9611_c0_g2_i2",3301,610,595,611,313,51.23,0,67.76,0.513114754098361,"ko:K01596"
"abc:ACICU_02913","B2HXC1","TRINITY_DN9611_c0_g2_i1",3300,610,595,611,313,51.23,0,67.76,0.513114754098361,"ko:K01596"
"abe:ARB_06761","D4ARL8","TRINITY_DN5432_c0_g1_i1",930,164,177,159,100,62.89,3e-53,79.25,0.609756097560976,"ko:K03094"
"abm:ABSDF0482","B0VQX5","TRINITY_DN9267_c0_g1_i2",1329,328,337,333,173,51.95,3e-111,69.37,0.527439024390244,"ko:K00024"
"abm:ABSDF3683","B0VQP8","TRINITY_DN21870_c0_g1_i1",297,44,48.9,38,25,65.79,8e-08,78.95,0.568181818181818,"ko:K02914"
"abo:ABO_0314","Q0VST6","TRINITY_DN8020_c0_g1_i1",2247,641,717,605,372,61.49,0,76.53,0.580343213728549,"ko:K04043"
"abo:ABO_1248","Q0VQ52","TRINITY_DN9267_c0_g1_i2",1329,328,364,331,189,57.1,1e-121,71.6,0.576219512195122,"ko:K00024"
"abo:ABO_2617","Q0VL83","TRINITY_DN9562_c0_g1_i1",1944,382,402,370,204,55.14,6e-133,75.68,0.534031413612565,"ko:K00789"
"abo:ABO_2728","Q0VKX2","TRINITY_DN9485_c0_g1_i1",1847,514,569,509,289,56.78,0,73.28,0.562256809338521,"ko:K02111"
"abo:ABO_2755","Q0VKU5","TRINITY_DN21870_c0_g1_i1",297,44,53.9,39,27,69.23,1e-09,82.05,0.613636363636364,"ko:K02914"
"abu:Abu_1595","A8EV70","TRINITY_DN9596_c0_g1_i1",1802,464,607,454,317,69.82,0,82.16,0.683189655172414,"ko:K02112"
"abu:Abu_1597","A8EV72","TRINITY_DN9485_c0_g1_i1",1847,505,600,502,297,59.16,0,75.7,0.588118811881188,"ko:K02111"
"abu:Abu_1625","A8EV99","TRINITY_DN21870_c0_g1_i1",297,44,47,39,24,61.54,4e-07,71.79,0.545454545454545,"ko:K02914"
"abu:Abu_2195","A8EWT6","TRINITY_DN8020_c0_g1_i1",2247,628,654,600,341,56.83,0,72.83,0.542993630573248,"ko:K04043"
"aby:ABAYE1669","B0V677","TRINITY_DN9573_c0_g1_i1",1574,431,416,439,218,49.66,3e-139,68.79,0.505800464037123,"ko:K01689"
"aby:ABAYE2118","B0VC98","TRINITY_DN9562_c0_g1_i1",1944,388,384,374,204,54.55,1e-125,73.8,0.525773195876289,"ko:K00789"
"aca:ACP_0797","C1F2D2","TRINITY_DN8020_c0_g1_i1",2247,639,679,601,344,57.24,0,76.37,0.538341158059468,"ko:K04043"
"aca:ACP_1028","C1F3N6","TRINITY_DN9596_c0_g1_i1",1802,480,581,458,305,66.59,0,81,0.635416666666667,"ko:K02112"
"aca:ACP_1030","C1F3N8","TRINITY_DN9485_c0_g1_i1",1847,534,598,503,298,59.24,0,76.34,0.558052434456929,"ko:K02111"
"acb:A1S_0155","A3M144","TRINITY_DN9596_c0_g1_i1",1802,464,578,450,303,67.33,0,79.33,0.65301724137931,"ko:K02112"
"acb:A1S_1519","A3M4V2","TRINITY_DN9562_c0_g1_i1",1944,388,383,374,204,54.55,3e-125,73.8,0.525773195876289,"ko:K00789"
"acb:A1S_2668","A3M840","TRINITY_DN9611_c0_g2_i2",3301,611,595,611,313,51.23,0,67.76,0.51227495908347,"ko:K01596"
"acb:A1S_2668","A3M840","TRINITY_DN9611_c0_g2_i1",3300,611,595,611,313,51.23,0,67.76,0.51227495908347,"ko:K01596"
"acb:A1S_3025","A3M928","TRINITY_DN9267_c0_g1_i2",1329,328,338,333,173,51.95,2e-111,69.37,0.527439024390244,"ko:K00024"
"ace:Acel_0651","A0LSL4","TRINITY_DN9485_c0_g1_i1",1847,554,566,504,287,56.94,0,72.22,0.518050541516246,"ko:K02111"
"ach:Achl_1220","B8HEU5","TRINITY_DN9573_c0_g1_i1",1574,426,439,434,236,54.38,2e-148,69.35,0.553990610328638,"ko:K01689"
"aci:ACIAD0185","Q6FFK2","TRINITY_DN9485_c0_g1_i1",1847,519,560,509,288,56.58,0,72.89,0.554913294797688,"ko:K02111"
"aci:ACIAD0187","Q6FFK0","TRINITY_DN9596_c0_g1_i1",1802,464,582,456,306,67.11,0,79.39,0.65948275862069,"ko:K02112"
"aci:ACIAD2001","Q6FAT9","TRINITY_DN9573_c0_g1_i1",1574,431,419,439,221,50.34,2e-140,68.79,0.512761020881671,"ko:K01689"
"aci:ACIAD2037","Q6FAQ6","TRINITY_DN9562_c0_g1_i1",1944,388,393,374,200,53.48,2e-129,73.53,0.515463917525773,"ko:K00789"
"aci:ACIAD2282","Q6FA43","TRINITY_DN9231_c0_g1_i1",1572,467,459,458,256,55.9,9e-156,69,0.548179871520343,"ko:K01251"
"aci:ACIAD2842","Q6F8P2","TRINITY_DN9611_c0_g2_i1",3300,609,592,611,308,50.41,0,67.59,0.505747126436782,"ko:K01596"
"aci:ACIAD2842","Q6F8P2","TRINITY_DN9611_c0_g2_i2",3301,609,592,611,308,50.41,0,67.59,0.505747126436782,"ko:K01596"
"aci:ACIAD3155","Q6F7X1","TRINITY_DN9267_c0_g1_i2",1329,328,339,333,173,51.95,5e-112,68.77,0.527439024390244,"ko:K00024"
"aci:ACIAD3654","Q6F6N3","TRINITY_DN8020_c0_g1_i1",2247,647,706,604,367,60.76,0,77.32,0.567233384853168,"ko:K04043"
"aci:ACIAD3684","Q6F6K7","TRINITY_DN21870_c0_g1_i1",297,44,49.3,38,25,65.79,7e-08,78.95,0.568181818181818,"ko:K02914"
"acl:ACL_0402","A9NF93","TRINITY_DN9573_c0_g1_i1",1574,431,405,440,220,50,4e-135,67.73,0.510440835266821,"ko:K01689"
"acl:ACL_1433","A9NE64","TRINITY_DN21870_c0_g1_i1",297,44,50.8,38,24,63.16,2e-08,81.58,0.545454545454545,"ko:K02914"
"acp:A2cp1_0172","B8J8T3","TRINITY_DN9562_c0_g1_i1",1944,390,381,373,198,53.08,2e-124,71.85,0.507692307692308,"ko:K00789"
"acp:A2cp1_2305","B8JAC4","TRINITY_DN9573_c0_g1_i1",1574,429,408,442,227,51.36,2e-136,67.65,0.529137529137529,"ko:K01689"
"acp:A2cp1_4505","B8JCV2","TRINITY_DN9485_c0_g1_i1",1847,510,623,460,305,66.3,0,80,0.598039215686274,"ko:K02111"
"acr:Acry_0167","A5FUW3","TRINITY_DN9573_c0_g1_i1",1574,425,413,435,216,49.66,3e-138,66.67,0.508235294117647,"ko:K01689"
"acr:Acry_0770","A5FWK8","TRINITY_DN2488_c0_g1_i1",470,95,104,94,50,53.19,9e-28,68.09,0.526315789473684,"ko:K01724"
"acr:Acry_0922","A5FX09","TRINITY_DN7353_c0_g1_i1",810,186,263,147,119,80.95,8e-87,90.48,0.639784946236559,"ko:K00331"
"acr:Acry_0924","A5FX11","TRINITY_DN6874_c0_g1_i1",1569,406,564,383,256,66.84,0,82.77,0.630541871921182,"ko:K00333"
"acr:Acry_1646","A5FZ19","TRINITY_DN8020_c0_g1_i1",2247,635,783,602,403,66.94,0,80.23,0.634645669291339,"ko:K04043"
"acr:Acry_1679","A5FZ52","TRINITY_DN9485_c0_g1_i1",1847,510,707,503,346,68.79,0,82.7,0.67843137254902,"ko:K02111"
"acr:Acry_1681","A5FZ54","TRINITY_DN9596_c0_g1_i1",1802,476,659,453,347,76.6,0,83.89,0.728991596638655,"ko:K02112"
"acr:Acry_2138","A5G0F5","TRINITY_DN21870_c0_g1_i1",297,44,48.5,39,25,64.1,1e-07,76.92,0.568181818181818,"ko:K02914"
"acr:Acry_3063","A5G320","TRINITY_DN9267_c0_g1_i2",1329,327,318,329,165,50.15,7e-104,67.17,0.504587155963303,"ko:K00024"
"act:ACLA_000650","A1C4N6","TRINITY_DN9087_c0_g1_i1",847,256,300,241,157,65.15,5e-100,80.08,0.61328125,"ko:K02984"
"act:ACLA_002740","A1C595","TRINITY_DN9429_c0_g1_i1",1558,399,696,398,324,81.41,0,92.46,0.81203007518797,"ko:K13025"
"act:ACLA_002740","A1C595","TRINITY_DN7983_c0_g1_i1",1655,399,539,382,267,69.9,0,83.77,0.669172932330827,"ko:K13025"
"act:ACLA_003310","A1C5F1","TRINITY_DN8592_c0_g1_i1",767,138,149,96,72,75,2e-43,86.46,0.521739130434783,"ko:K11251"
"act:ACLA_009360","A1C9U5","TRINITY_DN5432_c0_g1_i1",930,159,189,158,104,65.82,7e-58,81.01,0.654088050314465,"ko:K03094"
"act:ACLA_027080","A1CQR5","TRINITY_DN9241_c0_g1_i1",1223,257,275,222,132,59.46,2e-88,74.32,0.513618677042802,"ko:K00939"
"act:ACLA_029700","A1CRG9","TRINITY_DN4628_c0_g1_i1",989,189,261,192,130,67.71,3e-85,77.6,0.687830687830688,"ko:K07953"
"act:ACLA_033360","A1CJ09","TRINITY_DN9165_c0_g1_i2",745,140,168,96,78,81.25,2e-50,93.75,0.557142857142857,"ko:K11252"
"act:ACLA_033360","A1CJ09","TRINITY_DN15080_c0_g1_i1",269,140,160,89,72,80.9,3e-50,97.75,0.514285714285714,"ko:K11252"
"act:ACLA_033360","A1CJ09","TRINITY_DN9165_c0_g1_i1",731,140,168,96,78,81.25,1e-50,93.75,0.557142857142857,"ko:K11252"
"act:ACLA_036120","A1CJT5","TRINITY_DN9429_c0_g1_i1",1558,398,555,391,271,69.31,0,86.96,0.680904522613065,"ko:K03257"
"act:ACLA_036120","A1CJT5","TRINITY_DN7983_c0_g1_i1",1655,398,557,395,285,72.15,0,84.56,0.71608040201005,"ko:K03257"
"act:ACLA_041030","A1CL63","TRINITY_DN8854_c0_g1_i1",1089,298,277,297,153,51.52,2e-89,66.67,0.513422818791946,"ko:K02998"
"act:ACLA_069760","A1C6C4","TRINITY_DN9626_c0_g1_i1",2438,549,625,435,283,65.06,0,82.07,0.515482695810565,"ko:K12823"
"act:ACLA_088070","A1CE19","TRINITY_DN19396_c0_g1_i1",665,78,97.1,71,45,63.38,2e-24,80.28,0.576923076923077,"ko:K12625"
"act:ACLA_097850","A1CMQ7","TRINITY_DN9075_c0_g1_i2",1557,441,568,397,265,66.75,0,82.87,0.600907029478458,"ko:K12812"
"act:ACLA_097850","A1CMQ7","TRINITY_DN9075_c0_g1_i3",1706,441,567,397,265,66.75,0,82.87,0.600907029478458,"ko:K12812"
"ade:Adeh_0154","Q2IM98","TRINITY_DN9562_c0_g1_i1",1944,390,377,373,197,52.82,3e-123,71.31,0.505128205128205,"ko:K00789"
"ade:Adeh_1642","Q2IID9","TRINITY_DN9573_c0_g1_i1",1574,429,410,442,227,51.36,6e-137,67.87,0.529137529137529,"ko:K01689"
"ade:Adeh_4348","Q2IHQ2","TRINITY_DN9596_c0_g1_i1",1802,482,607,451,329,72.95,0,82.48,0.682572614107884,"ko:K02112"
"ade:Adeh_4350","Q2IHQ9","TRINITY_DN9485_c0_g1_i1",1847,510,625,509,312,61.3,0,76.23,0.611764705882353,"ko:K02111"
"aeh:Mlg_0487","Q0ABE6","TRINITY_DN9267_c0_g1_i2",1329,326,347,331,175,52.87,4e-115,68.88,0.53680981595092,"ko:K00024"
"aeh:Mlg_1962","Q0A783","TRINITY_DN6548_c0_g1_i1",848,163,172,154,91,59.09,1e-51,72.73,0.558282208588957,"ko:K00338"
"aeh:Mlg_1967","Q0A778","TRINITY_DN6874_c0_g1_i1",1569,417,530,410,251,61.22,0,75.85,0.601918465227818,"ko:K00333"
"aeh:Mlg_1969","Q0A776","TRINITY_DN7353_c0_g1_i1",810,158,261,144,115,79.86,3e-86,90.97,0.727848101265823,"ko:K00331"
"aeh:Mlg_2262","Q0A6D3","TRINITY_DN9562_c0_g1_i1",1944,385,385,373,200,53.62,2e-126,72.65,0.519480519480519,"ko:K00789"
"aeh:Mlg_2869","Q0A4M8","TRINITY_DN9596_c0_g1_i1",1802,458,594,448,313,69.87,0,81.03,0.683406113537118,"ko:K02112"
"aeh:Mlg_2871","Q0A4M6","TRINITY_DN9485_c0_g1_i1",1847,513,565,512,296,57.81,0,74.41,0.576998050682261,"ko:K02111"
"aeh:Mlg_2884","Q0A4L3","TRINITY_DN21870_c0_g1_i1",297,44,50.4,38,26,68.42,2e-08,76.32,0.590909090909091,"ko:K02914"
"afe:Lferr_0690","B5EN11","TRINITY_DN9562_c0_g1_i1",1944,389,382,377,198,52.52,7e-125,72.68,0.508997429305913,"ko:K00789"
"afe:Lferr_2042","B5EM21","TRINITY_DN7353_c0_g1_i1",810,158,268,144,119,82.64,4e-89,93.06,0.753164556962025,"ko:K00331"
"afe:Lferr_2254","B5EN68","TRINITY_DN6874_c0_g1_i1",1569,417,526,414,249,60.14,0,75.12,0.597122302158273,"ko:K00333"
"afe:Lferr_2256","B5EN70","TRINITY_DN7353_c0_g1_i1",810,158,273,144,122,84.72,6e-91,93.75,0.772151898734177,"ko:K00331"
"afl:Aflv_0011","B7GFL8","TRINITY_DN8143_c2_g1_i1",1805,294,351,274,171,62.41,7e-115,77.74,0.581632653061224,"ko:K06215"
"afl:Aflv_0835","B7GKC8","TRINITY_DN8020_c0_g1_i1",2247,605,659,597,352,58.96,0,74.71,0.581818181818182,"ko:K04043"
"afl:Aflv_2702","B7GMF3","TRINITY_DN9596_c0_g1_i1",1802,473,591,462,318,68.83,0,80.09,0.6723044397463,"ko:K02112"
"afl:Aflv_2704","B7GMF5","TRINITY_DN9485_c0_g1_i1",1847,507,585,490,289,58.98,0,75.92,0.570019723865878,"ko:K02111"
"afm:AFUA_1G04940","Q4WJS7","TRINITY_DN4628_c0_g1_i1",989,189,260,192,128,66.67,1e-84,77.6,0.677248677248677,"ko:K07953"
"afm:AFUA_1G07470","Q4WJ27","TRINITY_DN9481_c3_g1_i6",1365,118,154,116,70,60.34,2e-43,79.31,0.593220338983051,"ko:K08341"
"afm:AFUA_1G07470","Q4WJ27","TRINITY_DN9481_c3_g1_i15",1404,118,154,116,70,60.34,2e-43,79.31,0.593220338983051,"ko:K08341"
"afm:AFUA_1G07470","Q4WJ27","TRINITY_DN9481_c3_g1_i11",1363,118,154,116,70,60.34,2e-43,79.31,0.593220338983051,"ko:K08341"
"afm:AFUA_1G07470","Q4WJ27","TRINITY_DN9481_c3_g1_i5",1048,118,155,116,70,60.34,1e-44,79.31,0.593220338983051,"ko:K08341"
"afm:AFUA_1G07470","Q4WJ27","TRINITY_DN9481_c3_g1_i12",1452,118,154,116,70,60.34,2e-43,79.31,0.593220338983051,"ko:K08341"
"afm:AFUA_1G07470","Q4WJ27","TRINITY_DN9481_c3_g1_i7",1351,118,154,116,70,60.34,1e-43,79.31,0.593220338983051,"ko:K08341"
"afm:AFUA_1G07470","Q4WJ27","TRINITY_DN9481_c3_g1_i10",1388,118,154,116,70,60.34,2e-43,79.31,0.593220338983051,"ko:K08341"
"afm:AFUA_1G07470","Q4WJ27","TRINITY_DN9481_c3_g1_i3",1450,118,154,116,70,60.34,2e-43,79.31,0.593220338983051,"ko:K08341"
"afm:AFUA_1G07470","Q4WJ27","TRINITY_DN9481_c3_g1_i8",1477,118,154,116,70,60.34,3e-43,79.31,0.593220338983051,"ko:K08341"
"afm:AFUA_1G07470","Q4WJ27","TRINITY_DN9234_c0_g1_i1",1170,118,166,117,76,64.96,3e-48,81.2,0.644067796610169,"ko:K08341"
"afm:AFUA_1G07470","Q4WJ27","TRINITY_DN9481_c3_g1_i14",1349,118,154,116,70,60.34,1e-43,79.31,0.593220338983051,"ko:K08341"
"afm:AFUA_1G07470","Q4WJ27","TRINITY_DN9481_c3_g1_i13",1475,118,154,116,70,60.34,3e-43,79.31,0.593220338983051,"ko:K08341"
"afm:AFUA_1G07470","Q4WJ27","TRINITY_DN9481_c3_g1_i2",1438,118,154,116,70,60.34,2e-43,79.31,0.593220338983051,"ko:K08341"
"afm:AFUA_1G07470","Q4WJ27","TRINITY_DN9481_c3_g1_i16",1436,118,154,116,70,60.34,2e-43,79.31,0.593220338983051,"ko:K08341"
"afm:AFUA_1G07470","Q4WJ27","TRINITY_DN9481_c3_g1_i1",1491,118,154,116,70,60.34,3e-43,79.31,0.593220338983051,"ko:K08341"
"afm:AFUA_1G07470","Q4WJ27","TRINITY_DN9481_c3_g1_i9",1390,118,154,116,70,60.34,2e-43,79.31,0.593220338983051,"ko:K08341"
"afm:AFUA_1G09440","Q873W8","TRINITY_DN7764_c0_g1_i1",496,145,236,142,114,80.28,2e-78,90.85,0.786206896551724,"ko:K02973"
"afm:AFUA_1G14010","Q4WS49","TRINITY_DN7532_c0_g1_i1",1281,145,192,144,97,67.36,9e-58,80.56,0.668965517241379,"ko:K11827"
"afm:AFUA_2G10750","Q4X195","TRINITY_DN9626_c0_g1_i1",2438,547,626,438,283,64.61,0,81.51,0.517367458866545,"ko:K12823"
"afm:AFUA_2G11850","Q8NKF4","TRINITY_DN9469_c0_g2_i1",1279,392,511,396,256,64.65,1e-178,76.52,0.653061224489796,"ko:K02925"
"afm:AFUA_3G05350","Q4WWC5","TRINITY_DN15080_c0_g1_i1",269,140,159,89,72,80.9,1e-49,97.75,0.514285714285714,"ko:K11252"
"afm:AFUA_3G05350","Q4WWC5","TRINITY_DN9165_c0_g1_i2",745,140,167,96,78,81.25,3e-50,93.75,0.557142857142857,"ko:K11252"
"afm:AFUA_3G05350","Q4WWC5","TRINITY_DN9165_c0_g1_i1",731,140,167,96,78,81.25,3e-50,93.75,0.557142857142857,"ko:K11252"
"afm:AFUA_3G05360","Q4WWC6","TRINITY_DN8250_c0_g1_i1",2036,133,152,104,75,72.12,1e-41,82.69,0.56390977443609,"ko:K11251"
